date,equipment_category,source_system,coverage_status,selection_reason,input_rows,selected_rows,suppressed_rows,input_liter,selected_liter,suppressed_liter
2025-01-01,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,150.82999999999998,150.82999999999998,0.0
2025-01-01,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,111.2,111.2,0.0
2025-01-01,HEAD_TRUCK,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,80,80,0,6274.77,6274.77,0.0
2025-01-01,KEND_OPS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,5,5,0,125.37,125.37,0.0
2025-01-01,MODUL,EXCEL,NOT_APPLICABLE,EXCEL_MODUL_AUTHORITATIVE_WHEN_PRESENT,1,1,0,0.0,0.0,0.0
2025-01-01,RTGC,EXCEL,NOT_APPLICABLE,EXCEL_NON_UJB_CATEGORY,63,63,0,10732.7,10732.7,0.0
2025-01-01,SUPPORT,EXCEL,NOT_APPLICABLE,EXCEL_SUPPORT_RETAINED_FORKLIFT_BRIDGE,4,4,0,462.41999999999996,462.41999999999996,0.0
2025-01-02,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,145.9,145.9,0.0
2025-01-02,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,95.63,95.63,0.0
2025-01-02,HEAD_TRUCK,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,80,80,0,6147.5,6147.5,0.0
2025-01-02,KEND_OPS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,8,8,0,184.45,184.45,0.0
2025-01-02,MODUL,EXCEL,NOT_APPLICABLE,EXCEL_MODUL_AUTHORITATIVE_WHEN_PRESENT,1,1,0,0.0,0.0,0.0
2025-01-02,RTGC,EXCEL,NOT_APPLICABLE,EXCEL_NON_UJB_CATEGORY,63,63,0,12738.0,12738.0,0.0
2025-01-02,SUPPORT,EXCEL,NOT_APPLICABLE,EXCEL_SUPPORT_RETAINED_FORKLIFT_BRIDGE,5,5,0,460.04,460.04,0.0
2025-01-03,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,150.53,150.53,0.0
2025-01-03,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,116.39,116.39,0.0
2025-01-03,HEAD_TRUCK,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,79,79,0,6077.99,6077.99,0.0
2025-01-03,KEND_OPS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,9,9,0,257.9,257.9,0.0
2025-01-03,MODUL,EXCEL,NOT_APPLICABLE,EXCEL_MODUL_AUTHORITATIVE_WHEN_PRESENT,1,1,0,0.0,0.0,0.0
2025-01-03,RTGC,EXCEL,NOT_APPLICABLE,EXCEL_NON_UJB_CATEGORY,63,63,0,13193.6,13193.6,0.0
2025-01-03,SUPPORT,EXCEL,NOT_APPLICABLE,EXCEL_SUPPORT_RETAINED_FORKLIFT_BRIDGE,5,5,0,423.86,423.86,0.0
2025-01-04,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,147.48,147.48,0.0
2025-01-04,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,115.84,115.84,0.0
2025-01-04,HEAD_TRUCK,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,77,77,0,5785.05,5785.05,0.0
2025-01-04,KEND_OPS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,7,7,0,239.57,239.57,0.0
2025-01-04,MODUL,EXCEL,NOT_APPLICABLE,EXCEL_MODUL_AUTHORITATIVE_WHEN_PRESENT,1,1,0,0.0,0.0,0.0
2025-01-04,RTGC,EXCEL,NOT_APPLICABLE,EXCEL_NON_UJB_CATEGORY,63,63,0,13922.9,13922.9,0.0
2025-01-04,SUPPORT,EXCEL,NOT_APPLICABLE,EXCEL_SUPPORT_RETAINED_FORKLIFT_BRIDGE,7,7,0,549.7,549.7,0.0
2025-01-05,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,150.31,150.31,0.0
2025-01-05,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,119.32,119.32,0.0
2025-01-05,HEAD_TRUCK,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,80,80,0,6818.82,6818.82,0.0
2025-01-05,KEND_OPS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,8,8,0,205.3,205.3,0.0
2025-01-05,MODUL,EXCEL,NOT_APPLICABLE,EXCEL_MODUL_AUTHORITATIVE_WHEN_PRESENT,1,1,0,0.0,0.0,0.0
2025-01-05,RTGC,EXCEL,NOT_APPLICABLE,EXCEL_NON_UJB_CATEGORY,63,63,0,12612.6,12612.6,0.0
2025-01-05,SUPPORT,EXCEL,NOT_APPLICABLE,EXCEL_SUPPORT_RETAINED_FORKLIFT_BRIDGE,4,4,0,230.12,230.12,0.0
2025-01-06,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,150.53,150.53,0.0
2025-01-06,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,101.41,101.41,0.0
2025-01-06,HEAD_TRUCK,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,82,82,0,6317.76,6317.76,0.0
2025-01-06,KEND_OPS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,9,9,0,227.53,227.53,0.0
2025-01-06,MODUL,EXCEL,NOT_APPLICABLE,EXCEL_MODUL_AUTHORITATIVE_WHEN_PRESENT,1,1,0,0.0,0.0,0.0
2025-01-06,RTGC,EXCEL,NOT_APPLICABLE,EXCEL_NON_UJB_CATEGORY,63,63,0,12173.8,12173.8,0.0
2025-01-06,SUPPORT,EXCEL,NOT_APPLICABLE,EXCEL_SUPPORT_RETAINED_FORKLIFT_BRIDGE,4,4,0,499.45000000000005,499.45000000000005,0.0
2025-01-07,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,151.27,151.27,0.0
2025-01-07,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,110.56,110.56,0.0
2025-01-07,HEAD_TRUCK,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,80,80,0,5982.64,5982.64,0.0
2025-01-07,KEND_OPS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,8,8,0,192.29999999999998,192.29999999999998,0.0
2025-01-07,MODUL,EXCEL,NOT_APPLICABLE,EXCEL_MODUL_AUTHORITATIVE_WHEN_PRESENT,1,1,0,0.0,0.0,0.0
2025-01-07,RTGC,EXCEL,NOT_APPLICABLE,EXCEL_NON_UJB_CATEGORY,63,63,0,12281.5,12281.5,0.0
2025-01-07,SUPPORT,EXCEL,NOT_APPLICABLE,EXCEL_SUPPORT_RETAINED_FORKLIFT_BRIDGE,7,7,0,414.21,414.21,0.0
2025-01-08,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,150.56,150.56,0.0
2025-01-08,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,112.39,112.39,0.0
2025-01-08,HEAD_TRUCK,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,79,79,0,5819.34,5819.34,0.0
2025-01-08,KEND_OPS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,6,6,0,178.12,178.12,0.0
2025-01-08,MODUL,EXCEL,NOT_APPLICABLE,EXCEL_MODUL_AUTHORITATIVE_WHEN_PRESENT,1,1,0,0.0,0.0,0.0
2025-01-08,RTGC,EXCEL,NOT_APPLICABLE,EXCEL_NON_UJB_CATEGORY,63,63,0,13992.1,13992.1,0.0
2025-01-08,SUPPORT,EXCEL,NOT_APPLICABLE,EXCEL_SUPPORT_RETAINED_FORKLIFT_BRIDGE,4,4,0,367.62,367.62,0.0
2025-01-09,BUS,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,150.54,150.54,0.0
2025-01-09,ELF,EXCEL,NOT_APPLICABLE,EXCEL_OUTSIDE_UJB_COVERAGE,3,3,0,104.22,104.22,0.0
